name,val
0,-60.20493871410201
1,-60.20493871406117
2,-56.631544163522335
3,-60.204938714095604
4,-60.20493871405961
5,-60.2049387140741
6,-50.863721754174094
7,-60.204938714074615
8,-60.20493871410122
9,-60.20493871411456
10,-50.59859770846013
11,-60.20493871404994
12,-60.20493871407674
13,-60.204938714086225
14,-53.804175374820815
15,-60.20493871407684
16,-60.20493871407577
17,-60.20493871406222
18,-50.309547399735465
19,-60.20493871408811
20,-60.20493871408786
21,-60.20493871407567
22,-54.178526190987874
23,-60.20493871407672
24,-60.2049387140851
25,-60.20493871408995
26,-46.939397832502266
27,-60.204938714064404
28,-60.204938714092805
29,-60.204938714106305
30,-45.579643467369934
31,-60.20493871405552
32,-60.204938714083866
33,-60.20493871406167
34,-50.676681599749294
35,-60.20493871407268
36,-60.20493871403039
37,-60.20493871403967
38,-48.48760333754682
39,-60.2049387141006
40,-60.20493871404604
41,-60.20493871407779
42,-52.78114707195353
43,-60.20493871406877
44,-60.204938714055636
45,-60.20493871397892
46,-47.60352647661277
47,-60.20493871418482
48,-60.20493871407215
49,-60.20493871396309
50,-51.49057632343406
51,-60.20493871418151
52,-60.20493871412401
53,-60.2049387141109
54,-47.031006624456985
55,-60.2049387140797
56,-60.20493871406679
57,-60.204938714117276
58,-50.60970161560028
59,-60.2049387140694
60,-60.204938714060106
61,-60.2049387140967
62,-53.24002743106618
63,-60.204938714083546
64,-60.20493871408097
65,-60.20493871407651
66,-49.74672464765452
67,-60.20493871409173
68,-60.204938714108415
69,-60.204938714083625
70,-49.38392889621285
71,-60.204938714075254
72,-60.20493871410934
73,-60.20493871407613
74,-50.246239137543434
75,-60.20493871410298
76,-60.20493871411269
77,-60.20493871408797
78,-55.98845319213349
79,-60.204938714062294
80,-60.20493871407364
81,-60.204938714090986
82,-56.59681212389627
83,-60.20493871405143
84,-60.20493871408347
85,-60.204938714049774
86,-57.98924328353294
87,-60.20493871411324
88,-60.20493871413205
89,-60.20493871406944
90,-47.063175096367544
91,-60.204938714098624
92,-60.20493871405186
93,-60.20493871401211
94,-48.868368199670925
95,-60.204938714158764
96,-60.20493871408113
97,-60.204938714002466
98,-48.437218701246934
99,-60.204938714175206
100,-60.20493871410806
101,-60.20493871407206
102,-58.60490022756255
103,-60.20493871409984
104,-60.20493871407265
105,-60.20493871411471
106,-49.48624440379604
107,-60.204938714070444
108,-60.20493871411554
109,-60.20493871409822
110,-46.443900028300874
111,-60.204938714081024
112,-60.20493871406
113,-60.204938714064824
114,-47.213661518742576
115,-60.204938714102774
116,-60.20493871406495
117,-60.20493871405946
118,-49.5370773343224
119,-60.2049387140957
120,-60.20493871407783
121,-60.204938714089934
122,-54.013429393179436
123,-60.20493871409115
124,-60.20493871408022
125,-60.204938714100926
126,-52.308593900193216
127,-60.204938714064156
128,-60.20493871406241
129,-60.20493871406323
130,-48.29403968282602
131,-60.2049387140801
132,-60.20493871407582
133,-60.20493871404447
134,-56.03723016406725
135,-60.204938714125376
136,-60.2049387141068
137,-60.20493871405974
138,-52.60740850117834
139,-60.204938714099036
140,-60.204938714111826
141,-60.20493871407332
142,-50.821212599155636
143,-60.20493871410336
144,-60.204938714080015
145,-60.20493871405867
146,-48.741656477244874
147,-60.20493871411831
148,-60.20493871411338
149,-60.20493871410197
150,-56.641473760922096
151,-60.20493871408468
152,-60.20493871408651
153,-60.2049387141052
154,-53.52173036802691
155,-60.20493871408565
156,-60.20493871405947
157,-60.20493871408994
158,-46.06148897268697
159,-60.204938714075496
160,-60.204938714039585
161,-60.20493871406443
162,-53.293257181457854
163,-60.20493871408553
164,-60.20493871407275
165,-60.204938714069684
166,-55.82588586282549
167,-60.20493871409904
168,-60.20493871410836
169,-60.2049387140883
170,-53.73072421235221
171,-60.20493871407051
172,-60.20493871408229
173,-60.204938714101374
174,-48.506842438325926
175,-60.204938714057434
176,-60.204938714079134
177,-60.2049387140778
178,-50.61662300835871
179,-60.20493871407217
180,-60.2049387140659
181,-60.20493871399711
182,-48.5457173709381
183,-60.20493871416018
184,-60.20493871410939
185,-60.20493871402803
186,-54.20326317763194
187,-60.20493871412142
188,-60.20493871408581
189,-60.204938714102745
190,-46.31405912447757
191,-60.20493871407243
192,-60.20493871408546
193,-60.20493871408068
194,-51.616984328446776
195,-60.204938714108536
196,-60.20493871412245
197,-60.204938714100166
198,-53.90462012810091
199,-60.20493871409641
200,-60.20493871411959
201,-60.20493871411781
202,-48.052306234879254
203,-60.20493871407642
204,-60.204938714093316
205,-60.20493871409797
206,-47.05903532091331
207,-60.20493871406802
208,-60.20493871409126
209,-60.2049387140842
210,-46.790796176924715
211,-60.204938714088
212,-60.20493871408442
213,-60.20493871406516
214,-58.733953482657874
215,-60.204938714088144
216,-60.20493871408207
217,-60.20493871409133
218,-47.156930795757184
219,-60.20493871405719
220,-60.20493871412044
221,-60.20493871410323
222,-54.80012962844482
223,-60.204938714030966
224,-60.20493871408888
225,-60.204938714066415
226,-52.005094764815986
227,-60.20493871405006
228,-60.20493871400346
229,-60.20493871391079
230,-56.33605162025343
231,-60.204938714268934
232,-60.2049387141075
233,-60.20493871394831
234,-50.96199317424486
235,-60.204938714270085
236,-60.204938714157024
237,-60.20493871411051
238,-54.442496440428556
239,-60.204938714122434
240,-60.20493871407962
241,-60.20493871408948
242,-47.39445028990482
243,-60.20493871415442
244,-60.204938714110874
245,-60.20493871410905
246,-51.289961731653094
247,-60.20493871412053
248,-60.204938714120075
249,-60.204938714116984
250,-51.78057926534379
251,-60.20493871408963
252,-60.2049387141066
253,-60.204938714118015
254,-50.48942918371604
255,-60.204938714100564
